"applicability","country","identifier","message","name","otherReasonInfo","reason","region","regulationExemption","restriction","restrictionConditions","type","uSpaceClass","zoneAuthority_contactName","zoneAuthority_email","zoneAuthority_intervalBefore","zoneAuthority_name","zoneAuthority_phone","zoneAuthority_purpose","zoneAuthority_service","zoneAuthority_siteURL"
"NO","FXX","19","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 15 A]","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","20","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 15 B]","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","21","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 16 A] GASCOGNE","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","22","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 16 B] ARMORIQUE","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","23","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 16 C] GLENAN","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","24","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 16 D] GROIX","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","25","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 16 E] AR-MEN","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","26","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 18 A1] Région maritime Atlantique BREST","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","27","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 18 A2] Région maritime Atlantique BREST","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","28","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 18 A3] Région maritime Atlantique BREST","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
